PlotName,SiteName,SiteCode,Year,POINT_X,POINT_Y,NDMI
Unicorn+I2,Unicorn,UNI,2016,-54.00986125,48.63508393,0.463366657
Unicorn+C10,Unicorn,UNI,2016,-54.01536442,48.63522679,0.492500007
Unicorn+A13,Unicorn,UNI,2016,-54.01733439,48.63543083,0.452699989
Unicorn+F3,Unicorn,UNI,2016,-54.01190827,48.63536204,0.449600011
Unicorn+C8,Unicorn,UNI,2016,-54.01441004,48.63552595,0.511900008
Unicorn+F1,Unicorn,UNI,2016,-54.01095918,48.63557134,0.46360001
Unicorn+A11,Unicorn,UNI,2016,-54.0163258,48.6357286,0.510299981
Unicorn+C6,Unicorn,UNI,2016,-54.01344688,48.6357439,0.528633356
Unicorn+C4,Unicorn,UNI,2016,-54.01252173,48.63600781,0.538966656
Unicorn+A9,Unicorn,UNI,2016,-54.01548971,48.63609382,0.503700018
Unicorn+E1,Unicorn,UNI,2016,-54.01056505,48.63603798,0.522433341
Unicorn+A7,Unicorn,UNI,2016,-54.01451033,48.63635634,0.477266669
Unicorn+C2,Unicorn,UNI,2016,-54.01167258,48.63636367,0.522166669
Unicorn+D1,Unicorn,UNI,2016,-54.0109531,48.63636298,0.505699992
Unicorn+A5,Unicorn,UNI,2016,-54.0136253,48.63663031,0.516966641
Unicorn+A3,Unicorn,UNI,2016,-54.01271397,48.63711952,0.50213331
Unicorn+A1,Unicorn,UNI,2016,-54.0117925,48.63732054,0.496133327
Bloomfield+E1,Bloomfield,BL,2017,-53.98458432,48.35021095,0.487899989
Bloomfield+A1,Bloomfield,BL,2017,-53.98686909,48.35026857,0.429199994
Bloomfield+D1,Bloomfield,BL,2017,-53.98507272,48.35025226,0.55430001
Bloomfield+F1,Bloomfield,BL,2017,-53.98404674,48.3502519,0.546599984
Bloomfield+K1,Bloomfield,BL,2017,-53.9816713,48.35025957,0.584399998
Bloomfield+J1,Bloomfield,BL,2017,-53.98213168,48.35028361,0.568000019
Bloomfield+N1,Bloomfield,BL,2017,-53.98011965,48.35027282,0.557699978
