PlotName,Year,EVI,DEM_2016,Aspect_2016,Slope_2016,LandCover,AgeClss,HghtCls,CrwnDns,SppComp
Dunphys Pond+F1,2016,0.468633324,63,139,4.393377304,Deciduous,81-100-years,0-3.5-meters,51-75%,DS
Dunphys Pond+F11,2016,0.443233341,70,156,6.492565632,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+F13,2016,0.389433324,74,157,7.973233223,Coniferous,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+F3,2016,0.552833319,64,141,6.091477871,Deciduous,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+F5,2016,0.502799988,64,148,5.875572681,Mixed,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+F7,2016,0.508566678,67,120,6.603754997,Deciduous,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+F9,2016,0.464566678,62,142,5.759620667,Mixed,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+G14,2016,0.377299994,77,153,6.379370213,Mixed,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+H14,2016,0.394499987,81,158,5.1287117,Mixed,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+I10,2016,0.513199985,82,140,8.406583786,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+I12,2016,0.415066659,79,159,6.620689869,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+I14,2016,0.401966661,85,130,3.723867178,Mixed,81-100-years,9.6-12.5-meters,51-75%,bS
Dunphys Pond+I2,2016,0.499500006,74,151,5.961015701,Mixed,21-40-years,3.6-6.5-meters,51-75%,bS
Dunphys Pond+I4,2016,0.517266691,76,135,5.385977268,Mixed,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+I6,2016,0.57130003,76,151,6.281942844,Mixed,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+I8,2016,0.521499991,81,133,7.725405216,Mixed,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+J1,2016,0.50183332,76,125,5.808222771,Mixed,21-40-years,3.6-6.5-meters,51-75%,bS
Dunphys Pond+K1,2016,0.480233341,80,130,4.058664322,Mixed,21-40-years,3.6-6.5-meters,51-75%,bS
Dunphys Pond+L10,2016,0.441466659,92,131,4.393377304,Mixed,81-100-years,9.6-12.5-meters,51-75%,bS
Dunphys Pond+L12,2016,0.422699988,92,124,3.438912392,Deciduous,81-100-years,9.6-12.5-meters,51-75%,bS
Dunphys Pond+L14,2016,0.407933325,92,113,3.631393433,Mixed,81-100-years,9.6-12.5-meters,51-75%,bS
Dunphys Pond+L2,2016,0.469833344,83,146,5.150652409,Mixed,21-40-years,3.6-6.5-meters,51-75%,bS
Dunphys Pond+L4,2016,0.503233314,84,151,5.961015701,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Dunphys Pond+L6,2016,0.482800007,89,169,4.857533455,Mixed,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+L8,2016,0.499833345,91,143,5.095619678,Mixed,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+M14,2016,0.469449997,94,104,1.967863798,Deciduous,81-100-years,9.6-12.5-meters,26-50%,bSwB
Dunphys Pond+N1,2016,0.539166689,87,175,2.635026455,Mixed,21-40-years,3.6-6.5-meters,51-75%,bS
Dunphys Pond+N11,2016,0.383100003,95,135,1.012750387,Mixed,81-100-years,3.6-6.5-meters,26-50%,CS
Dunphys Pond+N13,2016,0.415450007,96,117,1.067520261,Mixed,81-100-years,3.6-6.5-meters,26-50%,CS
Dunphys Pond+N3,2016,0.438199997,90,166,1.967863798,Mixed,21-40-years,3.6-6.5-meters,51-75%,bS
Dunphys Pond+N5,2016,0.443800002,92,175,2.635026455,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Dunphys Pond+N7,2016,0.401600003,94,153,1.067520261,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Dunphys Pond+N9,2016,0.457249999,95,90,3.18E-15,Mixed,81-100-years,3.6-6.5-meters,26-50%,CS
TNNP North+A1,2016,0.467400014,34,100,5.322852612,Mixed,81-100-years,9.6-12.5-meters,51-75%,bSwB
TNNP North+A11,2016,0.415866673,67,122,7.572619915,Coniferous,61-80-years,9.6-12.5-meters,26-50%,bS
TNNP North+A13,2016,0.359400004,76,117,3.199601412,Coniferous,61-80-years,9.6-12.5-meters,>75%,bS
TNNP North+A3,2016,0.48633334,40,110,5.570960045,Mixed,81-100-years,6.6-9.5-meters,10-25%,CS
TNNP North+A5,2016,0.391966671,46,104,3.931095839,Mixed,61-80-years,6.6-9.5-meters,>75%,bS
