Date_Time,Year,Month,Day,MaxTemp,MinTemp,MeanTemp,HeatDegDays,CoolDegDays,TotalPrecip,SnowGround
2016-02-04,2016,2,4,4.7,-7.4,-1.4,19.4,0,7.8,31
2016-02-05,2016,2,5,4.5,-0.5,2,16,0,8.8,28
2016-02-06,2016,2,6,10.6,-9.3,0.7,17.3,0,16.7,21
2016-02-07,2016,2,7,-1.9,-11,-6.5,24.5,0,1,20
2016-02-08,2016,2,8,-5.8,-11.3,-8.6,26.6,0,0,21
2016-02-09,2016,2,9,-2,-5.8,-3.9,21.9,0,19.3,23
2016-02-10,2016,2,10,0.7,-6.3,-2.8,20.8,0,9.5,39
2016-02-11,2016,2,11,-2.5,-8.9,-5.7,23.7,0,2.2,35
2016-02-12,2016,2,12,-0.8,-11.6,-6.2,24.2,0,4.7,42
2016-02-13,2016,2,13,-7.1,-14.2,-10.7,28.7,0,11,48
2016-02-14,2016,2,14,-5.3,-14.2,-9.8,27.8,0,3.1,63
2016-02-15,2016,2,15,-8.1,-18.7,-13.4,31.4,0,0,58
2016-02-16,2016,2,16,3.3,-12.3,-4.5,22.5,0,1.5,54
2016-02-17,2016,2,17,9.8,3.1,6.5,11.5,0,20.3,45
2016-02-18,2016,2,18,6,-5.3,0.4,17.6,0,0,22
2016-02-19,2016,2,19,-4.4,-12.8,-8.6,26.6,0,0,22
2016-02-20,2016,2,20,-2,-12.7,-7.4,25.4,0,0,22
2016-02-21,2016,2,21,-1.3,-9.9,-5.6,23.6,0,0.8,22
2016-02-22,2016,2,22,3.2,-5.3,-1.1,19.1,0,0.8,22
2016-02-23,2016,2,23,-4.6,-13,-8.8,26.8,0,0,22
2016-02-24,2016,2,24,-4.8,-15.7,-10.3,28.3,0,2.1,22
2016-02-25,2016,2,25,10.7,-5.1,2.8,15.2,0,14.7,27
2016-02-26,2016,2,26,11,1.8,6.4,11.6,0,5.8,14
2016-02-27,2016,2,27,2.6,-8,-2.7,20.7,0,0,12
2016-02-28,2016,2,28,0.8,-8.3,-3.8,21.8,0,0,11
2016-02-29,2016,2,29,8.1,-8.8,-0.4,18.4,0,0,11
2016-03-01,2016,3,1,10,-6.3,1.9,16.1,0,6.6,5
2016-03-02,2016,3,2,2.3,-6.8,-2.3,20.3,0,0,1
2016-03-03,2016,3,3,9.5,-8.9,0.3,17.7,0,5.5,1
2016-03-04,2016,3,4,-2.7,-10.7,-6.7,24.7,0,0.6,0
2016-03-05,2016,3,5,-1.1,-11.7,-6.4,24.4,0,27.1,0
2016-03-06,2016,3,6,-1.1,-11.5,-6.3,24.3,0,6,16
2016-03-07,2016,3,7,-1.5,-13.4,-7.5,25.5,0,0,17
2016-03-08,2016,3,8,2.9,-12.2,-4.7,22.7,0,0,17
2016-03-09,2016,3,9,-4.1,-14.7,-9.4,27.4,0,0.6,16
2016-03-10,2016,3,10,-2.2,-12.6,-7.4,25.4,0,5.4,21
2016-03-11,2016,3,11,0.1,-15,-7.5,25.5,0,0,20
2016-03-12,2016,3,12,-3.4,-10.9,-7.2,25.2,0,0,19
2016-03-13,2016,3,13,-0.9,-11.8,-6.4,24.4,0,6.9,18
2016-03-14,2016,3,14,-6.7,-12,-9.4,27.4,0,1.9,26
2016-03-15,2016,3,15,1,-13.2,-6.1,24.1,0,0,24
2016-03-16,2016,3,16,1.7,-9.1,-3.7,21.7,0,0.6,22
2016-03-17,2016,3,17,3.7,-7.9,-2.1,20.1,0,0,20
2016-03-18,2016,3,18,3.5,-7.5,-2,20,0,0,18
2016-03-19,2016,3,19,4.1,-8.8,-2.4,20.4,0,1.3,19
2016-03-20,2016,3,20,-1.9,-10.6,-6.3,24.3,0,0,15
2016-03-21,2016,3,21,0.2,-12.5,-6.2,24.2,0,2.8,16
2016-03-22,2016,3,22,3.9,-7,-1.6,19.6,0,5.8,16
2016-03-23,2016,3,23,0,-9.9,-5,23,0,0,14
2016-03-24,2016,3,24,-2.2,-10.3,-6.3,24.3,0,0,14
2016-03-25,2016,3,25,-0.1,-10.9,-5.5,23.5,0,12,14
2016-03-26,2016,3,26,-0.8,-9,-4.9,22.9,0,0.6,16
2016-03-27,2016,3,27,4.4,-10.2,-2.9,20.9,0,0.6,15
2016-03-28,2016,3,28,3.7,-6.1,-1.2,19.2,0,0,15
2016-03-29,2016,3,29,5.8,-2.2,1.8,16.2,0,9.2,15
2016-03-30,2016,3,30,2.5,-4.4,-1,19,0,0.7,15
2016-03-31,2016,3,31,7.7,-3.5,2.1,15.9,0,0.6,12
2016-04-01,2016,4,1,8.8,1.3,5.1,12.9,0,3.2,10
2016-04-02,2016,4,2,13.5,0.3,6.9,11.1,0,11.6,4
2016-04-03,2016,4,3,9.4,-0.4,4.5,13.5,0,8.5,0
2016-04-04,2016,4,4,1,-8.1,-3.6,21.6,0,0.6,0
2016-04-05,2016,4,5,-2.1,-9.5,-5.8,23.8,0,5.4,0
2016-04-06,2016,4,6,-2.5,-10.5,-6.5,24.5,0,0.6,6
2016-04-07,2016,4,7,4.1,-9.1,-2.5,20.5,0,0,0
2016-04-08,2016,4,8,11.6,-0.6,5.5,12.5,0,0,0
2016-04-09,2016,4,9,15.4,2.3,8.9,9.1,0,0.7,0
2016-04-10,2016,4,10,13.4,-1.1,6.2,11.8,0,14.2,
2016-04-11,2016,4,11,6,-4.7,0.7,17.3,0,0,
2016-04-12,2016,4,12,7.1,-5.4,0.9,17.1,0,0.6,
2016-04-13,2016,4,13,14.8,0.9,7.9,10.1,0,0,
2016-04-14,2016,4,14,12.3,2.9,7.6,10.4,0,2.6,
2016-04-15,2016,4,15,3.5,-0.5,1.5,16.5,0,3.9,
2016-04-16,2016,4,16,1.8,-2.2,-0.2,18.2,0,0.6,
2016-04-17,2016,4,17,10.8,-2.5,4.2,13.8,0,0,
2016-04-18,2016,4,18,2.6,-5.5,-1.5,19.5,0,0.7,
2016-04-19,2016,4,19,3.6,-7.2,-1.8,19.8,0,0,0
2016-04-20,2016,4,20,-0.7,-4.4,-2.6,20.6,0,25.8,
2016-04-21,2016,4,21,3.2,-2,0.6,17.4,0,4.6,8
2016-04-22,2016,4,22,4.4,0.4,2.4,15.6,0,10.1,0
2016-04-23,2016,4,23,9.4,-1.4,4,14,0,0.6,0
2016-04-24,2016,4,24,15.2,-1.3,7,11,0,0.6,0
2016-04-25,2016,4,25,7.5,-4.9,1.3,16.7,0,0.6,0
2016-04-26,2016,4,26,4.3,-5.7,-0.7,18.7,0,0.6,0
2016-04-27,2016,4,27,4.9,-2.9,1,17,0,7.7,1
2016-04-28,2016,4,28,4.8,-4.2,0.3,17.7,0,6.5,0
2016-04-29,2016,4,29,4.8,-3.9,0.5,17.5,0,1.4,0
2016-04-30,2016,4,30,11,-1.6,4.7,13.3,0,0,0
2016-05-01,2016,5,1,11.3,-1,5.2,12.8,0,0.6,
2016-05-02,2016,5,2,10.4,1.3,5.9,12.1,0,0,
2016-05-03,2016,5,3,14,-0.1,7,11,0,6.8,
2016-05-04,2016,5,4,6.9,0.7,3.8,14.2,0,0.7,
2016-05-05,2016,5,5,6,0.2,3.1,14.9,0,14.4,
2016-05-06,2016,5,6,8,0.4,4.2,13.8,0,20.9,
2016-05-07,2016,5,7,14.2,1.8,8,10,0,0.6,
2016-05-08,2016,5,8,16.2,7.1,11.7,6.3,0,14.2,
2016-05-09,2016,5,9,15.1,0.7,7.9,10.1,0,0,
2016-05-10,2016,5,10,9.3,0.3,4.8,13.2,0,0,
2016-05-11,2016,5,11,10,-0.6,4.7,13.3,0,2.3,
2016-05-12,2016,5,12,4,-0.9,1.6,16.4,0,2.7,
2016-05-13,2016,5,13,9.1,-0.7,4.2,13.8,0,0.6,
2016-05-14,2016,5,14,11.1,-0.1,5.5,12.5,0,0,
2016-05-15,2016,5,15,12.9,0.3,6.6,11.4,0,0,
2016-05-16,2016,5,16,15.5,1.3,8.4,9.6,0,0,
2016-05-17,2016,5,17,10.4,3.1,6.8,11.2,0,3.7,
2016-05-18,2016,5,18,11.5,3.6,7.6,10.4,0,1.3,
2016-05-19,2016,5,19,17.7,3.4,10.6,7.4,0,0,
2016-05-20,2016,5,20,21.6,4.1,12.9,5.1,0,0,
2016-05-21,2016,5,21,25.1,3,14.1,3.9,0,3.4,
2016-05-22,2016,5,22,11.5,1.7,6.6,11.4,0,0.9,
2016-05-23,2016,5,23,21.8,1.8,11.8,6.2,0,0,
2016-05-24,2016,5,24,23.9,9.5,16.7,1.3,0,0,
2016-05-25,2016,5,25,23,6.9,15,3,0,12.2,
2016-05-26,2016,5,26,7,2.2,4.6,13.4,0,3.1,
2016-05-27,2016,5,27,9.4,1.4,5.4,12.6,0,0,
2016-05-28,2016,5,28,5,0.9,3,15,0,9.6,
2016-05-29,2016,5,29,10,0.5,5.3,12.7,0,0,
2016-05-30,2016,5,30,18.2,2.1,10.2,7.8,0,7.6,
2016-05-31,2016,5,31,18.9,5.2,12.1,5.9,0,0,
2016-06-01,2016,6,1,12,-1.5,5.3,12.7,0,0.7,
2016-06-02,2016,6,2,11.9,-1.3,5.3,12.7,0,0,
2016-06-03,2016,6,3,15.9,0.4,8.2,9.8,0,0,
2016-06-04,2016,6,4,11.4,3.2,7.3,10.7,0,0,
2016-06-05,2016,6,5,14.8,2.3,8.6,9.4,0,0,
2016-06-06,2016,6,6,14,2.3,8.2,9.8,0,0,
2016-06-07,2016,6,7,18.2,2.9,10.6,7.4,0,0,
2016-06-08,2016,6,8,13.3,2.9,8.1,9.9,0,4.8,
2016-06-09,2016,6,9,8.4,2.8,5.6,12.4,0,13.3,
2016-06-10,2016,6,10,7,3.3,5.2,12.8,0,0.7,
2016-06-11,2016,6,11,17.2,3.2,10.2,7.8,0,0,
2016-06-12,2016,6,12,14.2,3.5,8.9,9.1,0,0.6,
2016-06-13,2016,6,13,10.5,4.1,7.3,10.7,0,18,
2016-06-14,2016,6,14,15.7,10.5,13.1,4.9,0,5.8,
2016-06-15,2016,6,15,14.6,7,10.8,7.2,0,8.6,
2016-06-16,2016,6,16,11.8,5.6,8.7,9.3,0,1.8,
2016-06-17,2016,6,17,12.1,3,7.6,10.4,0,0.6,
2016-06-18,2016,6,18,11,2.8,6.9,11.1,0,0,
2016-06-19,2016,6,19,27.2,4.9,16.1,1.9,0,0,
2016-06-20,2016,6,20,27.7,12.2,20,0,2,0,
2016-06-21,2016,6,21,24.5,10.6,17.6,0.4,0,0,
2016-06-22,2016,6,22,21.8,10.8,16.3,1.7,0,3.7,
2016-06-23,2016,6,23,21,10.1,15.6,2.4,0,0.8,
2016-06-24,2016,6,24,21.8,9.6,15.7,2.3,0,1.8,
2016-06-25,2016,6,25,24,8.4,16.2,1.8,0,0,
2016-06-26,2016,6,26,26.9,9.9,18.4,0,0.4,0,
2016-06-27,2016,6,27,24.7,11.5,18.1,0,0.1,0,
2016-06-28,2016,6,28,26.7,11.4,19.1,0,1.1,0,
2016-06-29,2016,6,29,25.1,15.1,20.1,0,2.1,6.9,
2016-06-30,2016,6,30,23.6,14.9,19.3,0,1.3,16.9,
2016-07-01,2016,7,1,24.4,9.8,17.1,0.9,0,0,
2016-07-02,2016,7,2,18.9,8.6,13.8,4.2,0,0,
2016-07-03,2016,7,3,15.9,9.5,12.7,5.3,0,6.9,
2016-07-04,2016,7,4,18.2,9.1,13.7,4.3,0,1.8,
2016-07-05,2016,7,5,22.9,7.1,15,3,0,0.6,
2016-07-06,2016,7,6,7.8,6.2,7,11,0,26.3,
2016-07-07,2016,7,7,12.9,3.6,8.3,9.7,0,2.1,
2016-07-08,2016,7,8,17.3,4,10.7,7.3,0,0,
2016-07-09,2016,7,9,20.4,5.6,13,5,0,0,
2016-07-10,2016,7,10,15.6,5.6,10.6,7.4,0,0,
2016-07-11,2016,7,11,9.8,6.6,8.2,9.8,0,32,
2016-07-12,2016,7,12,10.7,7.1,8.9,9.1,0,11.2,
2016-07-13,2016,7,13,14.2,5.7,10,8,0,0,
2016-07-14,2016,7,14,17.9,6.9,12.4,5.6,0,0,
2016-07-15,2016,7,15,22.2,13.7,18,0,0,0,
2016-07-16,2016,7,16,30.4,14.1,22.3,0,4.3,14.1,
2016-07-17,2016,7,17,24.8,12.8,18.8,0,0.8,0,
2016-07-18,2016,7,18,25.3,13.5,19.4,0,1.4,0,
2016-07-19,2016,7,19,26.4,12.5,19.5,0,1.5,0,
2016-07-20,2016,7,20,21.2,11.1,16.2,1.8,0,0,
2016-07-21,2016,7,21,23.2,11.2,17.2,0.8,0,0,
2016-07-22,2016,7,22,27.2,10.2,18.7,0,0.7,0,
2016-07-23,2016,7,23,25.6,15.9,20.8,0,2.8,0,
2016-07-24,2016,7,24,25.9,11.9,18.9,0,0.9,3.7,
2016-07-25,2016,7,25,24.3,12.9,18.6,0,0.6,0,
2016-07-26,2016,7,26,26.1,13.3,19.7,0,1.7,0,
2016-07-27,2016,7,27,24.5,13.7,19.1,0,1.1,0,
2016-07-28,2016,7,28,27.3,17.1,22.2,0,4.2,0,
2016-07-29,2016,7,29,27.9,15.9,21.9,0,3.9,0,
2016-07-30,2016,7,30,25.7,14.3,20,0,2,1.2,
2016-07-31,2016,7,31,21.6,12.9,17.3,0.7,0,2.7,
2016-08-01,2016,8,1,22.2,9.9,16.1,1.9,0,0,
2016-08-02,2016,8,2,14.7,6.4,10.6,7.4,0,0,
2016-08-03,2016,8,3,17.8,7.5,12.7,5.3,0,0,
2016-08-04,2016,8,4,23.1,9.7,16.4,1.6,0,0,
2016-08-05,2016,8,5,26.4,14.4,20.4,0,2.4,1.4,
2016-08-06,2016,8,6,25.4,16.1,20.8,0,2.8,7.3,
2016-08-07,2016,8,7,21.4,15.6,18.5,0,0.5,1.9,
2016-08-08,2016,8,8,27.2,13.6,20.4,0,2.4,0.6,
2016-08-09,2016,8,9,25.9,11.4,18.7,0,0.7,2,
2016-08-10,2016,8,10,26.1,11.3,18.7,0,0.7,0,
2016-08-11,2016,8,11,26.7,14.1,20.4,0,2.4,0,
2016-08-12,2016,8,12,22.6,10.4,16.5,1.5,0,0,
2016-08-13,2016,8,13,20.5,9.9,15.2,2.8,0,0,
2016-08-14,2016,8,14,23.8,9.1,16.5,1.5,0,0,
2016-08-15,2016,8,15,23,11.2,17.1,0.9,0,0,
2016-08-16,2016,8,16,22.4,12.5,17.5,0.5,0,4.2,
2016-08-17,2016,8,17,28.2,11.5,19.9,0,1.9,0,
2016-08-18,2016,8,18,23.4,11.8,17.6,0.4,0,0,
2016-08-19,2016,8,19,17.7,8.8,13.3,4.7,0,0,
2016-08-20,2016,8,20,19.3,8.7,14,4,0,0,
2016-08-21,2016,8,21,22.4,10.6,16.5,1.5,0,0,
2016-08-22,2016,8,22,26.3,13.2,19.8,0,1.8,0.8,
2016-08-23,2016,8,23,24.1,12.9,18.5,0,0.5,9.2,
2016-08-24,2016,8,24,25.9,11.4,18.7,0,0.7,7.2,
2016-08-25,2016,8,25,26.7,13.6,20.2,0,2.2,0,
2016-08-26,2016,8,26,20,16.3,18.2,0,0.2,17.7,
2016-08-27,2016,8,27,16.9,8.5,12.7,5.3,0,17.3,
2016-08-28,2016,8,28,19.6,8.6,14.1,3.9,0,0,
2016-08-29,2016,8,29,19.3,9.4,14.4,3.6,0,6.9,
2016-08-30,2016,8,30,14.6,6,10.3,7.7,0,9.6,
2016-08-31,2016,8,31,18.6,5.4,12,6,0,1,
2016-09-01,2016,9,1,17.6,5.8,11.7,6.3,0,0.7,
2016-09-02,2016,9,2,14.7,5,9.9,8.1,0,0,
2016-09-03,2016,9,3,14,4,9,9,0,0.6,
2016-09-04,2016,9,4,14.5,3.5,9,9,0,0.6,
2016-09-05,2016,9,5,25.9,6.5,16.2,1.8,0,0,
2016-09-06,2016,9,6,26.3,11.7,19,0,1,0,
2016-09-07,2016,9,7,25.1,17.6,21.4,0,3.4,0,
2016-09-08,2016,9,8,19,9.1,14.1,3.9,0,11.2,
2016-09-09,2016,9,9,15.8,9.2,12.5,5.5,0,17.8,
2016-09-10,2016,9,10,16.4,4.1,10.3,7.7,0,2,
2016-09-11,2016,9,11,16.8,3.6,10.2,7.8,0,0,
2016-09-12,2016,9,12,19.6,9.5,14.6,3.4,0,0.6,
2016-09-13,2016,9,13,24.1,8.8,16.5,1.5,0,0,
2016-09-14,2016,9,14,24,12.9,18.5,0,0.5,0,
2016-09-15,2016,9,15,15,3.1,9.1,8.9,0,1.8,
2016-09-16,2016,9,16,18.4,2.6,10.5,7.5,0,0,
2016-09-17,2016,9,17,19.8,7.5,13.7,4.3,0,0,
2016-09-18,2016,9,18,16.2,9.3,12.8,5.2,0,18.7,
2016-09-19,2016,9,19,9.3,4.7,7,11,0,1.8,
2016-09-20,2016,9,20,11.6,5.2,8.4,9.6,0,0,
2016-09-21,2016,9,21,21.3,9.5,15.4,2.6,0,0,
2016-09-22,2016,9,22,20.4,8,14.2,3.8,0,0,
2016-09-23,2016,9,23,13.9,7.9,10.9,7.1,0,5.6,
2016-09-24,2016,9,24,11.6,3.2,7.4,10.6,0,5.7,
2016-09-25,2016,9,25,13.7,1.7,7.7,10.3,0,0.7,
2016-09-26,2016,9,26,9.7,3.2,6.5,11.5,0,4,
2016-09-27,2016,9,27,11.1,1.7,6.4,11.6,0,2.2,
2016-09-28,2016,9,28,11.4,2.9,7.2,10.8,0,0,
2016-09-29,2016,9,29,7.6,1.7,4.7,13.3,0,43.5,
2016-09-30,2016,9,30,15.9,2.9,9.4,8.6,0,0,
2016-10-01,2016,10,1,18.3,2.7,10.5,7.5,0,0,
2016-10-02,2016,10,2,15.7,1.5,8.6,9.4,0,0.6,
2016-10-03,2016,10,3,10.5,-0.2,5.2,12.8,0,1.2,
2016-10-04,2016,10,4,13.1,-0.1,6.5,11.5,0,0,
2016-10-05,2016,10,5,19.9,5.8,12.9,5.1,0,0,
2016-10-06,2016,10,6,21.6,5.6,13.6,4.4,0,0,
2016-10-07,2016,10,7,21.2,0.4,10.8,7.2,0,0,
2016-10-08,2016,10,8,12.6,0.4,6.5,11.5,0,0,
2016-10-09,2016,10,9,13.7,7.2,10.5,7.5,0,0,
2016-10-10,2016,10,10,17.6,5.1,11.4,6.6,0,73.6,
2016-10-11,2016,10,11,5.1,-0.7,2.2,15.8,0,2.1,
2016-10-12,2016,10,12,16.9,-0.6,8.2,9.8,0,0,0
2016-10-13,2016,10,13,16.5,4,10.3,7.7,0,0,
2016-10-14,2016,10,14,14.7,6.1,10.4,7.6,0,0,0
2016-10-15,2016,10,15,7.6,-1.1,3.3,14.7,0,0.6,
2016-10-16,2016,10,16,10.7,-1.7,4.5,13.5,0,0,
2016-10-17,2016,10,17,8.7,1.7,5.2,12.8,0,1.4,
2016-10-18,2016,10,18,5.8,-0.9,2.5,15.5,0,0,
2016-10-19,2016,10,19,12.5,-1.5,5.5,12.5,0,0.9,
2016-10-20,2016,10,20,9.1,-2.1,3.5,14.5,0,0.6,
2016-10-21,2016,10,21,8.4,-2,3.2,14.8,0,0.6,2
2016-10-22,2016,10,22,17.7,5.8,11.8,6.2,0,28.5,
2016-10-23,2016,10,23,17.3,9.2,13.3,4.7,0,3.6,
2016-10-24,2016,10,24,10.8,3.7,7.3,10.7,0,3.9,
2016-10-25,2016,10,25,11.5,1.9,6.7,11.3,0,0.6,
2016-10-26,2016,10,26,3.6,0.7,2.2,15.8,0,4.4,
2016-10-27,2016,10,27,3.3,-1.1,1.1,16.9,0,3.6,
2016-10-28,2016,10,28,4.8,-3.1,0.9,17.1,0,1.3,
2016-10-29,2016,10,29,7.5,-3.3,2.1,15.9,0,9,
2016-10-30,2016,10,30,12.2,3.7,8,10,0,4.9,
2016-10-31,2016,10,31,8.8,2.2,5.5,12.5,0,0.7,
2016-11-01,2016,11,1,5,2,3.5,14.5,0,20.1,
2016-11-02,2016,11,2,8.1,4.9,6.5,11.5,0,5.5,
2016-11-03,2016,11,3,11,3.3,7.2,10.8,0,3.6,
2016-11-04,2016,11,4,6.9,3,5,13,0,2,
2016-11-05,2016,11,5,7.3,0.4,3.9,14.1,0,0,
2016-11-06,2016,11,6,3.3,-1.4,1,17,0,0.6,
2016-11-07,2016,11,7,7.2,-3.1,2.1,15.9,0,0.7,
2016-11-08,2016,11,8,10.5,-0.6,5,13,0,0,
2016-11-09,2016,11,9,6,0.6,3.3,14.7,0,0,
2016-11-10,2016,11,10,4,0.5,2.3,15.7,0,0.7,
2016-11-11,2016,11,11,8.5,0.8,4.7,13.3,0,0.6,
2016-11-12,2016,11,12,8.2,-2.3,3,15,0,0.7,
2016-11-13,2016,11,13,7.2,1.3,4.3,13.7,0,0.6,
2016-11-14,2016,11,14,10.4,1.8,6.1,11.9,0,0,
2016-11-15,2016,11,15,8.7,0.5,4.6,13.4,0,0,
2016-11-16,2016,11,16,5.5,1.3,3.4,14.6,0,6.2,
2016-11-17,2016,11,17,13,4.9,9,9,0,9.1,
2016-11-18,2016,11,18,13,5.5,9.3,8.7,0,14.9,
2016-11-19,2016,11,19,6.4,3.3,4.9,13.1,0,10.4,
2016-11-20,2016,11,20,14.8,5.8,10.3,7.7,0,15.7,
2016-11-21,2016,11,21,15,11.6,13.3,4.7,0,4,
2016-11-22,2016,11,22,14.5,7.6,11.1,6.9,0,3,
2016-11-23,2016,11,23,7.6,-0.6,3.5,14.5,0,7.6,
2016-11-24,2016,11,24,1.7,-0.7,0.5,17.5,0,2,
2016-11-25,2016,11,25,0.1,-3.2,-1.6,19.6,0,0,0
2016-11-26,2016,11,26,-1.4,-4.3,-2.9,20.9,0,0,0
2016-11-27,2016,11,27,7.1,-4.8,1.2,16.8,0,13.5,0
2016-11-28,2016,11,28,6.6,-1.3,2.7,15.3,0,0,0
2016-11-29,2016,11,29,2.5,-1.8,0.4,17.6,0,0.6,0
2016-11-30,2016,11,30,1.1,-3.4,-1.2,19.2,0,0.6,0
2016-12-01,2016,12,1,-1,-4.4,-2.7,20.7,0,0,0
