"","PlotName","SiteName","SiteCode","POINT_X","POINT_Y","NDMI2016","NDMI2017","coords.x1","coords.x2","coords.x3","optional"
"16","Bloomfield+L4","Bloomfield","BL",-53.9811245431,48.3512995264,0.429899990558624,0.5,723649.429459176,5359751.50927852,0,TRUE
"17","Bloomfield+A5","Bloomfield","BL",-53.9867711132,48.3515938326,0.410050004720688,0.408300012350082,723229.869095094,5359767.74912711,0,TRUE
"18","Bloomfield+F5","Bloomfield","BL",-53.9838004232,48.3515810129,0.545400023460388,0.579299986362457,723449.980003867,5359774.98435496,0,TRUE
"19","Bloomfield+N5","Bloomfield","BL",-53.9800547466,48.351705188,0.49889999628067,0.548600018024445,723726.898129396,5359799.71583637,0,TRUE
"20","Bloomfield+C6","Bloomfield","BL",-53.9855914215,48.3519664094,0.575399994850159,0.579200029373169,723315.625821054,5359812.59330982,0,TRUE
"21","Bloomfield+I6","Bloomfield","BL",-53.9823780802,48.3519598553,0.57244998216629,0.583000004291534,723553.682025355,5359821.23625974,0,TRUE
"22","Bloomfield+L6","Bloomfield","BL",-53.9810565731,48.3519851413,0.513300001621246,0.549199998378754,723651.461598387,5359827.90333881,0,TRUE
"23","Bloomfield+F7","Bloomfield","BL",-53.9837163835,48.3522220563,0.567799985408783,0.557799994945526,723453.400156437,5359846.4716936,0,TRUE
"24","Bloomfield+A7","Bloomfield","BL",-53.9866643566,48.3523074533,0.584999978542328,0.578199982643127,723234.657477826,5359847.36830453,0,TRUE
"25","Bloomfield+N7","Bloomfield","BL",-53.9799172675,48.3523566115,0.525099992752075,0.561200022697449,723734.227770724,5359872.51310304,0,TRUE
"26","Bloomfield+I8","Bloomfield","BL",-53.9823209824,48.3526001984,0.482450008392334,0.498499989509583,723555.108164376,5359892.56726592,0,TRUE
"27","Bloomfield+C8","Bloomfield","BL",-53.9854566385,48.3526627605,0.551699995994568,0.55460000038147,723322.564448081,5359890.37503759,0,TRUE
"28","Bloomfield+L8","Bloomfield","BL",-53.9810964392,48.3526679587,0.471399992704391,0.505299985408783,723645.517998341,5359903.67171858,0,TRUE
"29","Bloomfield+A9","Bloomfield","BL",-53.9865264341,48.3529498992,0.574100017547607,0.59280002117157,723242.065333665,5359919.16830354,0,TRUE
"30","Bloomfield+F9","Bloomfield","BL",-53.9836547482,48.3530154846,0.578050017356873,0.572099983692169,723454.493715485,5359934.82896504,0,TRUE
"31","Bloomfield+N9","Bloomfield","BL",-53.9798751911,48.353023558,0.520799994468689,0.550400018692017,723734.422329765,5359946.75692154,0,TRUE
"32","Bloomfield+C10","Bloomfield","BL",-53.9853736699,48.3533217732,0.598100006580353,0.619199991226196,723325.828041567,5359963.85616434,0,TRUE
"33","Bloomfield+I10","Bloomfield","BL",-53.982161817,48.3533421683,0.555599987506866,0.592199981212616,723563.649673883,5359975.49039119,0,TRUE
"34","Bloomfield+L10","Bloomfield","BL",-53.9809615928,48.3533643063,0.47995001077652,0.535600006580353,723652.456611441,5359981.45379397,0,TRUE
"35","Bloomfield+A11","Bloomfield","BL",-53.9864217749,48.3536994563,0.563199996948242,0.58160001039505,723246.540705569,5360002.77519299,0,TRUE
"36","Bloomfield+F11","Bloomfield","BL",-53.9835173122,48.3536669121,0.594550013542175,0.62279999256134,723461.823237495,5360007.62609553,0,TRUE
